grid_cell,lat_bin,lon_bin,hour,day_of_week,crime_count,n_crime_types,month_mode,is_weekend,risk_level
41.64_-87.54,41.64,-87.54,8,0,1,1,4,0,Low
41.64_-87.54,41.64,-87.54,15,1,1,1,11,0,Low
41.64_-87.54,41.64,-87.54,16,2,1,1,6,0,Low
41.64_-87.6,41.64,-87.6,13,1,1,1,5,0,Low
41.64_-87.6,41.64,-87.6,23,5,1,1,6,1,Low
41.64_-87.61,41.64,-87.61,22,2,1,1,5,0,Low
41.64_-87.61,41.64,-87.61,23,1,1,1,3,0,Low
41.65_-87.53,41.65,-87.53,0,0,1,1,6,0,Low
41.65_-87.53,41.65,-87.53,0,1,1,1,3,0,Low
41.65_-87.53,41.65,-87.53,0,2,1,1,7,0,Low
41.65_-87.53,41.65,-87.53,0,3,1,1,1,0,Low
41.65_-87.53,41.65,-87.53,0,4,1,1,7,0,Low
41.65_-87.53,41.65,-87.53,0,6,1,1,2,1,Low
41.65_-87.53,41.65,-87.53,1,6,2,2,1,1,Low
41.65_-87.53,41.65,-87.53,2,0,1,1,11,0,Low
41.65_-87.53,41.65,-87.53,3,2,1,1,12,0,Low
41.65_-87.53,41.65,-87.53,3,6,1,1,9,1,Low
41.65_-87.53,41.65,-87.53,4,0,1,1,1,0,Low
41.65_-87.53,41.65,-87.53,4,5,1,1,5,1,Low
41.65_-87.53,41.65,-87.53,4,6,1,1,1,1,Low
41.65_-87.53,41.65,-87.53,6,0,1,1,2,0,Low
41.65_-87.53,41.65,-87.53,6,1,1,1,12,0,Low
41.65_-87.53,41.65,-87.53,6,2,1,1,2,0,Low
41.65_-87.53,41.65,-87.53,7,0,1,1,2,0,Low
41.65_-87.53,41.65,-87.53,7,2,2,2,2,0,Low
41.65_-87.53,41.65,-87.53,7,3,2,2,3,0,Low
41.65_-87.53,41.65,-87.53,7,6,1,1,2,1,Low
41.65_-87.53,41.65,-87.53,8,0,1,1,2,0,Low
41.65_-87.53,41.65,-87.53,8,5,1,1,5,1,Low
41.65_-87.53,41.65,-87.53,8,6,2,2,4,1,Low
41.65_-87.53,41.65,-87.53,9,0,1,1,1,0,Low
41.65_-87.53,41.65,-87.53,9,3,2,2,7,0,Low
41.65_-87.53,41.65,-87.53,10,1,1,1,12,0,Low
41.65_-87.53,41.65,-87.53,10,5,1,1,12,1,Low
41.65_-87.53,41.65,-87.53,11,0,2,2,1,0,Low
41.65_-87.53,41.65,-87.53,11,4,1,1,5,0,Low
41.65_-87.53,41.65,-87.53,11,5,1,1,9,1,Low
41.65_-87.53,41.65,-87.53,11,6,1,1,5,1,Low
41.65_-87.53,41.65,-87.53,12,1,2,2,7,0,Low
41.65_-87.53,41.65,-87.53,13,5,1,1,6,1,Low
41.65_-87.53,41.65,-87.53,14,4,1,1,8,0,Low
41.65_-87.53,41.65,-87.53,15,0,1,1,1,0,Low
41.65_-87.53,41.65,-87.53,15,3,1,1,10,0,Low
41.65_-87.53,41.65,-87.53,15,4,1,1,12,0,Low
41.65_-87.53,41.65,-87.53,15,6,1,1,7,1,Low
41.65_-87.53,41.65,-87.53,16,0,1,1,6,0,Low
41.65_-87.53,41.65,-87.53,16,4,1,1,4,0,Low
41.65_-87.53,41.65,-87.53,16,5,2,2,2,1,Low
41.65_-87.53,41.65,-87.53,17,1,2,2,1,0,Low
41.65_-87.53,41.65,-87.53,17,2,1,1,2,0,Low
41.65_-87.53,41.65,-87.53,18,2,1,1,9,0,Low
41.65_-87.53,41.65,-87.53,18,3,1,1,5,0,Low
41.65_-87.53,41.65,-87.53,18,5,1,1,4,1,Low
41.65_-87.53,41.65,-87.53,18,6,2,2,2,1,Low
41.65_-87.53,41.65,-87.53,19,0,1,1,5,0,Low
41.65_-87.53,41.65,-87.53,19,4,1,1,11,0,Low
41.65_-87.53,41.65,-87.53,20,1,1,1,2,0,Low
41.65_-87.53,41.65,-87.53,20,2,1,1,9,0,Low
41.65_-87.53,41.65,-87.53,20,6,1,1,2,1,Low
41.65_-87.53,41.65,-87.53,21,0,1,1,5,0,Low
41.65_-87.53,41.65,-87.53,21,4,2,2,2,0,Low
41.65_-87.53,41.65,-87.53,21,5,1,1,3,1,Low
41.65_-87.53,41.65,-87.53,21,6,1,1,4,1,Low
41.65_-87.53,41.65,-87.53,22,3,1,1,3,0,Low
41.65_-87.53,41.65,-87.53,22,4,1,1,1,0,Low
41.65_-87.53,41.65,-87.53,22,6,1,1,8,1,Low
41.65_-87.53,41.65,-87.53,23,2,1,1,2,0,Low
41.65_-87.53,41.65,-87.53,23,4,2,2,5,0,Low
41.65_-87.53,41.65,-87.53,23,5,1,1,3,1,Low
41.65_-87.54,41.65,-87.54,0,0,4,3,2,0,Medium
41.65_-87.54,41.65,-87.54,0,1,3,2,3,0,Medium
41.65_-87.54,41.65,-87.54,0,2,1,1,6,0,Low
41.65_-87.54,41.65,-87.54,0,3,1,1,2,0,Low
41.65_-87.54,41.65,-87.54,0,5,1,1,5,1,Low
41.65_-87.54,41.65,-87.54,0,6,2,2,3,1,Low
41.65_-87.54,41.65,-87.54,1,1,2,2,2,0,Low
41.65_-87.54,41.65,-87.54,1,2,3,3,4,0,Medium
41.65_-87.54,41.65,-87.54,1,5,1,1,4,1,Low
41.65_-87.54,41.65,-87.54,1,6,2,2,3,1,Low
41.65_-87.54,41.65,-87.54,2,0,2,2,3,0,Low
